Alpha, Cd
  -14.00    ,    .8941E-01
  -12.00    ,    .7646E-01
  -10.00    ,    .6509E-01
  -8.000    ,    .5545E-01
  -6.000    ,    .4766E-01
  -4.000    ,    .4181E-01
  -2.000    ,    .3797E-01
    .000    ,    .3620E-01
   2.000    ,    .3651E-01
   4.000    ,    .3960E-01
   6.000    ,    .4814E-01
   8.000    ,    .6494E-01
   10.00    ,    .9268E-01
   12.00    ,    .1339    
   14.00    ,    .1911    

Alpha, CL
  -14.00    ,   -.1943    
  -12.00    ,   -.1715    
  -10.00    ,   -.1471    
  -8.000    ,   -.1215    
  -6.000    ,   -.9479E-01
  -4.000    ,   -.6722E-01
  -2.000    ,   -.3905E-01
    .000    ,   -.1054E-01
   2.000    ,    .1806E-01
   4.000    ,    .5879E-01
   6.000    ,    .1265    
   8.000    ,    .2205    
   10.00    ,    .3396    
   12.00    ,    .4824    
   14.00    ,    .6471    

Alpha, Cm
  -14.00    ,   -.1361    
  -12.00    ,    .7835E-03
  -10.00    ,    .1423    
  -8.000    ,    .2878    
  -6.000    ,    .4365    
  -4.000    ,    .5876    
  -2.000    ,    .7406    
    .000    ,    .8945    
   2.000    ,    1.049    
   4.000    ,    1.198    
   6.000    ,    1.335    
   8.000    ,    1.460    
   10.00    ,    1.573    
   12.00    ,    1.672    
   14.00    ,    1.756    

Alpha, Cyb
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    

Alpha, Cnb
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    

Alpha, Clb
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    

Alpha, Q_Qinf
  -14.00    ,    .1000E-29
  -12.00    ,    .1000E-29
  -10.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29

Alpha, Epslon
  -14.00    ,    .1000E-29
  -12.00    ,    .1000E-29
  -10.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29

Alpha, d_Epslon
  -14.00    ,    .1000E-29
  -12.00    ,    .1000E-29
  -10.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29

Alpha, CLq
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    

Alpha, Cmq
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    

Alpha, CLad_Basic
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    

Alpha, Cmad_Basic
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    

Alpha, Clp
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    

Alpha, Cyp
  -14.00    ,     .000    
  -12.00    ,     .000    
  -10.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
